,Name,Place,Type
0,Yankee,"Via Sirte 6, 20146",Beer
1,Jack-The-Brewer,"Via Solari Andrea, 26 20144 Milano (MI)",Beer
2,La-Birreria-italiana,"Piazzale Antonio Cantore 4, 20123",Beer
3,Doppio-malto,"Viale Liguria, 47 20143 Milano (MI)",Beer
4,Murphys,"Via Montevideo 3, 20144 ",Beer
5,Old-fox,"Piazza Sant’Agostino 1, 20123",Beer
6,Confine,Viale Coni Zugna,Beer
7,Piano-b,"Via Moncucco, 26 20142 ",Beer
8,10-gradi-nord,"Via Giacomo Watt 5, 20143 ",Beer
9,Manga-climbing,"Via Livraghi Giovanni, 25 20126 Milano (MI)",Beer
10,Rockspot,"Via Fantoli Gaudenzio, 15 20138 Milano (MI)",Beer
11,La-Belle-alliance,"Via Evangelista Torricelli 1, 20136 ",Beer
12,Pico-brew,"Via Ascanio Sforza, 63, 20136 Milano MI",Beer
13,Tipota,"Via Francesco Brioschi 32, 20136 ",Beer
14,Scott-Duff-Pub,"Via Volta Alessandro, 13 20121 Milano (MI)",Beer
15,Cambusa,"Piazzale Tripoli 7, 20146 ",Beer
16,Akkademia,"Via Carlo Ravizza 1, 20149 ",Beer
17,Pazzeria,"Piazzale Giovanni delle Bande Nere 2, 20147 ",Beer
18,La-vecchia-arena,"Piazza Lega Lombarda, 1 20154 Milano (MI)",Wine
19,Il-vinaccio,"Piazza Ambrosoli Giorgio, 3 20144 Milano (MI)",Wine
20,Signor-vino,"Via Pattari, 2 20122 Milano (MI)",Wine
21,Farmacia-alcolica,"Via Conchetta, 20 20136 Milano (MI)",Drink
22,Frizzi-e-lazzi,"Via Evangelista Torricelli 5, 20136 ",Drink
23,Elsa-(bicocca),"Piazzale Egeo, 9/A, 20126 Milano MI",Drink
24,Magafurla,"Via Cozzi Roberto, 50 20125 Milano (MI)",Drink
25,Corte-de-miracoli,"Via Mortara, 4, 20144 Milano MI",Vario
26,Birra Di Quartiere,"Via Casati Felice, 27 20124 Milano (MI)",beer
