Name,Place,Type
Yankee,"Via Sirte 6, 20146",Beer
Jack-The-Brewer,"Via Solari Andrea, 26 20144 Milano (MI)",Beer
La-Birreria-italiana,"Piazzale Antonio Cantore 4, 20123",Beer
Doppio-malto,"Viale Liguria, 47 20143 Milano (MI)",Beer
Murphys,"Via Montevideo 3, 20144 ",Beer
Old-fox,"Piazza Sant’Agostino 1, 20123",Beer
Confine,Viale Coni Zugna,Beer
Piano-b,"Via Moncucco, 26 20142 ",Beer
10-gradi-nord,"Via Giacomo Watt 5, 20143 ",Beer
Manga-climbing,"Via Livraghi Giovanni, 25 20126 Milano (MI)",Beer
Rockspot,"Via Fantoli Gaudenzio, 15 20138 Milano (MI)",Beer
La-Belle-alliance,"Via Evangelista Torricelli 1, 20136 ",Beer
Pico-brew,"Via Ascanio Sforza, 63, 20136 Milano MI",Beer
Tipota,"Via Francesco Brioschi 32, 20136 ",Beer
Scott-Duff-Pub,"Via Volta Alessandro, 13 20121 Milano (MI)",Beer
Cambusa,"Piazzale Tripoli 7, 20146 ",Beer
Akkademia,"Via Carlo Ravizza 1, 20149 ",Beer
Pazzeria,"Piazzale Giovanni delle Bande Nere 2, 20147 ",Beer
La-vecchia-arena,"Piazza Lega Lombarda, 1 20154 Milano (MI)",Wine
Il-vinaccio,"Piazza Ambrosoli Giorgio, 3 20144 Milano (MI)",Wine
Signor-vino,"Via Pattari, 2 20122 Milano (MI)",Wine
Farmacia-alcolica,"Via Conchetta, 20 20136 Milano (MI)",Drink
Frizzi-e-lazzi,"Via Evangelista Torricelli 5, 20136 ",Drink
Elsa-(bicocca),"Piazzale Egeo, 9/A, 20126 Milano MI",Drink
Magafurla,"Via Cozzi Roberto, 50 20125 Milano (MI)",Drink
Corte-de-miracoli,"Via Mortara, 4, 20144 Milano MI",Vario
Birra Di Quartiere,"Via Giambellino, 42, 20146 Milano MI",beer
